Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)

SMILES: Line notation of a chemical compound
B2: Second virial coefficient computed using MSMC simulations (dm^3/mol)
UB2: Uncertainty (68% confidence level) in MSMC-obtained B2 (dm^3/mol)
These simulations are carried out in Etomica using etomica.virial.simulations.VirialAlkanesAmber class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	B2	UB2
CCCCCCC(C(C)C)(C)C	-13.58635512	0.097192446
CCCCCCC(CCCC)C	-17.25902522	0.179800271
CCCCCCC(CC(C)C)C	-15.47191174	0.138555854
CCCC(CCC(CCC)C)C	-15.03959521	0.143383891
CCCC(CCC(C(C)C)C)C	-13.9213892	0.133055893
CCCC(CC(CCC)CC)C	-13.33414969	0.104584859
CCCC(CC(C(C)C)CC)C	-11.12905765	0.077596511
CCCC(C(CCC)C)CCC	-12.38712257	0.10948791
CCCC(C(CCC)C)C(C)C	-10.89735189	0.066825377
CCCCC(CCC)(CCC)C	-13.29766917	0.106767148
CCCCC(C(C)C)(CCC)C	-11.94223151	0.077836198
CCCCC(C(CCC)CC)C	-12.91485167	0.1100423
CCCCC(C(C(C)C)CC)C	-11.4286126	0.078141214
CCCCC(CC(CCC)C)C	-14.14813657	0.117759092
CCCCC(CC(C(C)C)C)C	-12.70276204	0.096930129
CCCCC(CCCC(C)C)C	-15.9978704	0.149682983
CC(C(C)C)CCC(C(C)C)C	-12.44301676	0.10939651
CCCC(CC(C(C)C)C)CC	-11.67839736	0.080140828
CCC(C(C)C)CC(C(C)C)C	-10.02933294	0.062602619
CCCC(C(C(C)C)C)CCC	-11.41154419	0.076698274
CCCC(C(C(C)C)C)C(C)C	-10.076686	0.058070683
CCCCC(C(C)C)(C(C)C)C	-10.30712224	0.058653975
CCCCC(C(CCC)(C)C)C	-12.12030439	0.082575739
CCCCC(C(C(C)C)(C)C)C	-11.14191999	0.065636709
CCCCC(C(CCCC)C)C	-14.17091126	0.115295245
CCCCC(C(CC(C)C)C)C	-12.21818504	0.090056783
CCCC(C(CCC)CC)CC	-11.5013992	0.073602553
CCCC(C(C(C)C)CC)CC	-10.16677268	0.061133456
CCCC(CCC)(CCC)CC	-12.55676645	0.089013566
CCCC(C(C)C)(CCC)CC	-10.77781609	0.061484425
CCC(C(C(C)C)CC)C(C)C	-8.943996101	0.048221327
CCCC(C(C)C)(C(C)C)CC	-9.960095771	0.051656862
CCCC(C(CCC)(C)C)CC	-10.78349368	0.073442011
CCCC(C(C(C)C)(C)C)CC	-9.958540164	0.052050113
CCCC(C(CC(C)C)C)CC	-10.94752361	0.074292704
CC(CCCC(CC(C)C)C)C	-14.32488351	0.150677929
CCCC(CCCC(C)C)(C)C	-13.47557034	0.109579095
CC(CCCC(C(C)C)(C)C)C	-12.51016093	0.099921002
CC(CCC(C(C)C)C(C)C)C	-10.88423574	0.070453039
CCCC(CC(C)C)CC(C)C	-12.15040953	0.090746292
CC(C(CC(C)C)CC(C)C)C	-9.922974279	0.069595889
CCCC(CC(CC(C)C)C)C	-12.4697711	0.100930626
CC(CC(CC(C(C)C)C)C)C	-11.24620817	0.085125072
CCC(C(CC(C)C)C)C(C)C	-9.840249999	0.059474365
CCCC(CC(C)C)(CCC)C	-11.90937907	0.082018002
CCCC(C(C)C)(CC(C)C)C	-10.48185782	0.068025732
CCCC(C(C(C)C)C(C)C)C	-9.734519713	0.053981618
CCCC(CC(CCC)(C)C)C	-12.00646444	0.091475458
CCCC(CC(C(C)C)(C)C)C	-11.1421556	0.079199299
CCCC(CC(C(C)C)C)(C)C	-10.50146895	0.067118468
CC(C(C)C)CC(C(C)C)(C)C	-9.654355487	0.056500829
CC(C(C(C(C)C)C)C(C)C)C	-8.5838803	0.040970117
CC(CC(C(C)C)(C(C)C)C)C	-9.496618543	0.053468233
CCCC(C(CC(C)C)C)(C)C	-10.05947491	0.060414024
CC(CC(C(C(C)C)(C)C)C)C	-9.42994577	0.047938337
CC(C(CC(C)C)C)CC(C)C	-10.60876878	0.062972168
CCC(C(C)C)(C(C)C)C(C)C	-8.724637567	0.037877907
CCCC(C(C(C)C)CC)(C)C	-9.442611029	0.054271186
CCC(C(C(C)C)(C)C)C(C)C	-8.885192436	0.042927315
CCCC(C(CCC)(C)C)(C)C	-10.36293786	0.065058755
CCCC(C(C(C)C)(C)C)(C)C	-9.346889192	0.049772789
CC(C(C(C(C)C)(C)C)(C)C)C	-8.990062102	0.049980646
CCCCCCCCC(CC)C	-17.17585184	0.155729786
CCC(CCCCCC(C)C)C	-16.36035724	0.157167853
CCCC(CCCC(CC)C)C	-15.66668426	0.133796535
CCC(CCCC(C(C)C)C)C	-14.57129742	0.124671322
CCCC(CCC(CC)C)CC	-14.37449629	0.11491456
CCC(CCC(C(C)C)CC)C	-12.37278332	0.090144163
CCCC(CC(CC)C)CCC	-13.24813932	0.111870084
CCCC(C(C)C)CC(CC)C	-11.12087211	0.083022099
CCCCC(C(CC)C)CCC	-13.0589566	0.100758215
CCCCC(C(CC)C)C(C)C	-11.28145412	0.076511587
CCCCCC(CCC)(CC)C	-13.53816118	0.101466228
CCCCCC(C(C)C)(CC)C	-12.44887919	0.073264245
CCCCCC(C(CCC)C)C	-14.8041855	0.137934253
CCCCCC(C(C(C)C)C)C	-13.26129462	0.117072614
CCCCCC(CCCCC)C	-17.16376368	0.171403384
CCCCCC(CCC(C)C)C	-15.77234314	0.148750188
CCCCCC(CCCC)CC	-16.31912869	0.153032443
CCCCCC(CC(C)C)CC	-14.35491264	0.102492193
CC(CCC(C)C)CCC(C)C	-14.05347654	0.121253763
