Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)


Shape Descriptors generated using Monte Carlo simulations in Etomica. 
Shape descriptors computed are:
- Squared Radius of Gyration (Angstrom^6)
- Asphericity (Angstrom^6)
- Acylindricity (Angstrom^6)
- Anisotropy
- Along with standard deviation (SD) in the above quantities

These simulations are carried out in Etomica using etomica.virial.simulations.VirialSingleAlkane class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	Squared_Radius_Gyration	SD_Squared_Radius_Gyration	Asphericity	SD_Asphericity	Acylindricity	SD_Acylindricity	Anisotropy	SD_Anisotropy
CCCC(CC(C)C)CC 	9.109261	0.3421219	0.3781383	0.07697267	0.1863816	0.05502009	0.1772572	0.04736959
CCC(C(C)C)CC(C)C 	8.369679	0.1965457	0.3328611	0.04487105	0.1426908	0.03410088	0.1289651	0.02802376
CCCC(C(C)C)C(C)C 	8.1268	0.2415279	0.2490013	0.04204376	0.1926045	0.04003477	0.09279285	0.02086733
CCCCC(CCC)(C)C 	9.443336	0.5510315	0.4605787	0.1000062	0.1376003	0.04947957	0.2381298	0.08509923
CCCCC(C(C)C)(C)C 	8.769044	0.4008058	0.4805327	0.05519889	0.06072612	0.02358981	0.2371631	0.05172366
CCCCC(CCCC)C 	11.05396	0.9856642	0.5925797	0.1243245	0.1279628	0.07118233	0.3827899	0.1269504
CCCCC(CC(C)C)C 	10.25636	0.8073894	0.572655	0.1023542	0.09122291	0.050835	0.346545	0.106051
CCCCCCC(CC)C 	11.77318	1.050967	0.6913556	0.07460419	0.06358056	0.03122844	0.4873156	0.09674828
CCC(CCCC(C)C)C 	10.81712	0.7395673	0.6499745	0.05598573	0.06861693	0.02985305	0.4298101	0.07000268
CCCC(CC(CC)C)C 	9.608138	0.5872231	0.5169028	0.08797776	0.08894622	0.04400843	0.2823186	0.08397564
CCC(CC(C(C)C)C)C 	8.812074	0.4022922	0.4832826	0.05800141	0.07259881	0.04120997	0.2421421	0.05428467
CCCC(C(CC)C)CC 	8.692439	0.3740676	0.298754	0.07885959	0.1939907	0.05078971	0.1256309	0.04708005
CCC(C(CC)C)C(C)C 	7.963129	0.2531193	0.2907292	0.05651123	0.1334475	0.03737214	0.1021103	0.03563339
CCCC(CCC)(CC)C 	8.545772	0.2602106	0.2950251	0.08867459	0.187961	0.06678213	0.1246936	0.04437295
CCCC(C(C)C)(CC)C 	7.907371	0.1703717	0.2784703	0.03909855	0.1369002	0.03606995	0.09403655	0.02016016
CCCC(C(CCC)C)C 	9.371717	0.5531123	0.4425518	0.1074187	0.1385261	0.061198	0.2246697	0.08739733
CCCC(C(C(C)C)C)C 	8.733202	0.4577711	0.4526396	0.09230727	0.08882507	0.03365988	0.2201932	0.07860351
CC(C(C(C)C)C)C(C)C 	8.002038	0.2418677	0.3853901	0.04683353	0.07090156	0.03519447	0.155383	0.03334113
CCC(C(C)C)(C(C)C)C 	7.143294	0.1181567	0.1731215	0.04188901	0.1277599	0.04057211	0.04518911	0.01436942
CCCC(C(CC)C)(C)C 	8.354043	0.305161	0.4033986	0.07635187	0.07608541	0.04240175	0.1741967	0.05760993
CCC(C(C(C)C)(C)C)C 	7.63944	0.1735918	0.3602826	0.04953521	0.07038872	0.04167792	0.1372782	0.03266209
CCCCC(C(CC)C)C 	9.568253	0.6106635	0.5117968	0.07931922	0.09842917	0.03850866	0.2766309	0.07937405
CCC(C(CC(C)C)C)C 	8.669125	0.3877167	0.4249536	0.06747358	0.08069929	0.03344352	0.1908579	0.05849006
CC(CC(C)C)CC(C)C 	9.125987	0.354053	0.4927879	0.05641008	0.07037186	0.03208975	0.2505338	0.05030411
CCCC(CC(C)C)(C)C 	8.523218	0.3625867	0.3932159	0.0865891	0.1237325	0.04763692	0.1753579	0.06273242
CC(CC(C(C)C)(C)C)C 	7.92303	0.2411635	0.390114	0.0468443	0.07005363	0.03377837	0.1589178	0.03725567
CC(C(C(C)C)C(C)C)C 	7.395612	0.1628271	0.1412548	0.03652378	0.1679627	0.04110108	0.04370965	0.01644904
CCCCCCC(C)(C)C 	11.08303	0.8255999	0.6836355	0.05458624	0.02743879	0.01775418	0.4711535	0.07120709
CC(CCCC(C)(C)C)C 	10.15649	0.480022	0.6342063	0.03132331	0.03676235	0.01052579	0.404297	0.03894678
CCCC(CC(C)(C)C)C 	8.900267	0.5013678	0.488968	0.06926055	0.1045634	0.0338311	0.2528939	0.06334163
CC(C(CC(C)(C)C)C)C 	8.187128	0.2576835	0.4486693	0.03975926	0.06653638	0.03717831	0.2072414	0.03463806
